"","Age_month","LEARNABLE","BALANCE","WORD","DOM","NONDOM","TE","DOM-SINGLET","NONDOM-SINGLET","CONCEPT"
"Age_month",0,0,0.001,0,0,0,0,0,0.021,0
"LEARNABLE",0,0,0.002,0,0,0,0,0,0.007,0
"BALANCE",0,0,0,1,0,0,0.001,0,0,0.006
"WORD",0,0,0.324,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0.002,0
"NONDOM",0,0,0,0,0,0,0,0,0,0
"TE",0,0,0,0,0,0,0,0,0,0
"DOM-SINGLET",0,0,0,0,0,0,0,0,0.871,0
"NONDOM-SINGLET",0.005,0.001,0,0,0,0,0,0.194,0,0
"CONCEPT",0,0,0.001,0,0,0,0,0,0,0
