"","Age_month","V","B","W","D","N","TE","Du","Nu","C"
"Age_month",0,0,0.001,0,0,0,0,0,0.02,0
"V",0,0,0.002,0,0,0,0,0,0.005,0
"B",0,0,0,1,0,0,0.001,0,0,0.006
"W",0,0,0.318,0,0,0,0,0,0,0
"D",0,0,0,0,0,0,0,0,0.003,0
"N",0,0,0,0,0,0,0,0,0,0
"TE",0,0,0,0,0,0,0,0,0,0
"Du",0,0,0,0,0,0,0,0,0.849,0
"Nu",0.004,0.001,0,0,0.001,0,0,0.189,0,0
"C",0,0,0.001,0,0,0,0,0,0,0
