"baby_id","ID_testdate","gender","study_name","age_days","age_months_binned","age_continuous","lang_group","lang_exp_eng","lang_exp_fre","lang_exp_other","lang_dom","cdi_filled_by","both_cdi_filled","required_cdi_filled","eng_cdi_filled","fre_cdi_filled","dom_cdi_filled","cdi_available","number_of_te","eng_unique_words","fre_unique_words","date_of_test","visit_num","multiple_visits","total_keeper_visits","years_education","firstborn","balance","balance_group","participant_id","exclude.language","exclude.age","concept_vocab","total_words_eng","total_words_fre","word_vocab","age_month_decimal","BalanceGroup_byExposure","TotalNW_Dom_exposure","TotalNW_NonDom_exposure","Dom_unique_words_exposure","NonDom_unique_words_exposure","LangDom_vocab","TotalNW_Dom","TotalNW_NonDom","Dom_unique_words","NonDom_unique_words","TotalUnique","balance_vocab","propTE","propTE_CDI"
"1798","1798_2012-08-03","F","Mix20",589,19,19.36,"bilingual",50,50,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",57,78,38,2012-08-03,1,FALSE,1,16,"n",50,"50_50",599,0,0,173,135,95,230,19.6333333333333,"50_50",135,95,78,38,"English",135,95,78,38,116,0.58695652173913,0.495652173913044,0.0848214285714286
"1885","1885_2012-08-03","F","Mix20",598,19,19.66,"bilingual",60,40,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",19,25,16,2012-08-03,1,TRUE,3,16,"y",40,"60_40",547,0,0,60,44,35,79,19.9333333333333,"60_40",44,35,25,16,"English",44,35,25,16,41,0.556962025316456,0.481012658227848,0.0282738095238095
"344","344_2012-08-03","F","Mix20",624,20,20.52,"bilingual",52,48,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",178,420,28,2012-08-03,1,FALSE,1,15,"n",48,"50_50",224,0,0,626,598,206,804,20.8,"50_50",598,206,420,28,"English",598,206,420,28,448,0.743781094527363,0.442786069651741,0.264880952380952
"536","536_2012-08-05","F","BiAEM26",826,27,27.16,"bilingual",29,63,9,"French",NA,"Y","Y","Y","Y","Y","bothFilled",57,4,358,2012-08-05,1,FALSE,1,18,"n",33,"60_40",611,0,0,419,61,415,476,27.5333333333333,"70_30",415,61,358,4,"French",415,61,358,4,362,0.871848739495798,0.239495798319328,0.0848214285714286
"1877","1877_2012-08-05","M","Mix20",601,19,19.76,"bilingual",43.5,56.5,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",6,2,19,2012-08-05,1,FALSE,1,18,"n",43.5,"50_50",302,0,0,27,8,25,33,20.0333333333333,"60_40",25,8,19,2,"French",25,8,19,2,21,0.757575757575758,0.363636363636364,0.00892857142857143
"1542","1542_2012-08-06","M","Mix20",612,20,20.12,"bilingual",62,38,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",12,34,10,2012-08-06,1,FALSE,1,18,"y",38,"60_40",364,0,0,56,46,22,68,20.4,"60_40",46,22,34,10,"English",46,22,34,10,44,0.676470588235294,0.352941176470588,0.0178571428571429
"1894","1894_2012-08-08","M","Mix20",601,19,19.76,"bilingual",27,74,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",8,7,11,2012-08-08,1,FALSE,1,16,"n",26.5,"70_30",365,0,0,26,15,19,34,20.0333333333333,"80_20",19,15,11,7,"French",19,15,11,7,18,0.558823529411765,0.470588235294118,0.0119047619047619
"442","442_2012-08-11","F","BiAEM26",815,26,26.79,"bilingual",53,45,2,"English",NA,"Y","Y","Y","Y","Y","bothFilled",241,178,76,2012-08-11,1,FALSE,1,NA,"y",46,"50_50",90,0,0,495,419,317,736,27.1666666666667,"50_50",419,317,178,76,"English",419,317,178,76,254,0.56929347826087,0.654891304347826,0.358630952380952
"905","905_2012-09-22","M","BiAEM26",810,26,26.63,"bilingual",71,29,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",60,30,164,2012-09-22,1,FALSE,1,18,"n",29,"70_30",74,0,0,254,90,224,314,27,"80_20",90,224,30,164,"French",224,90,164,30,194,0.713375796178344,0.382165605095541,0.0892857142857143
"192","192_2012-10-13","M","BiAEM26",813,26,26.73,"bilingual",27,73,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",56,7,133,2012-10-13,1,FALSE,1,16,"n",27,"70_30",355,0,0,196,63,189,252,27.1,"80_20",189,63,133,7,"French",189,63,133,7,140,0.75,0.444444444444444,0.0833333333333333
"916","916_2012-10-20","F","BiAEM26",829,27,27.25,"bilingual",36.98,63.03,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",35,21,72,2012-10-20,1,FALSE,1,NA,"y",36.975,"60_40",212,0,0,128,56,107,163,27.6333333333333,"70_30",107,56,72,21,"French",107,56,72,21,93,0.656441717791411,0.429447852760736,0.0520833333333333
"98","98_2012-10-26","M","BiAEM26",815,26,26.79,"bilingual",71.91,28.1,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",2,121,1,2012-10-26,1,FALSE,1,15,"n",28.095,"70_30",299,0,0,124,123,3,126,27.1666666666667,"80_20",123,3,121,1,"English",123,3,121,1,122,0.976190476190476,0.0317460317460317,0.00297619047619048
"114","114_2012-10-27","M","BiAEM26",800,26,26.3,"bilingual",59.58,40.43,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",145,218,23,2012-10-27,1,FALSE,1,16,"y",40.425,"50_50",14,0,0,386,363,168,531,26.6666666666667,"60_40",363,168,218,23,"English",363,168,218,23,241,0.68361581920904,0.546139359698682,0.21577380952381
"915","915_2012-10-27","M","BiAEM26",820,26,26.96,"bilingual",26.78,73.23,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",13,4,234,2012-10-27,2,TRUE,2,16,"y",26.775,"70_30",127,0,0,251,17,247,264,27.3333333333333,"80_20",247,17,234,4,"French",247,17,234,4,238,0.935606060606061,0.0984848484848485,0.0193452380952381
"1439","1439_2012-11-03","M","Mix20",631,20,20.75,"bilingual",41.58,58.43,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",2,2,0,2012-11-03,1,TRUE,2,21,"y",41.575,"50_50",556,0,0,4,4,2,6,21.0333333333333,"60_40",2,4,0,2,"English",4,2,2,0,2,0.666666666666667,0.666666666666667,0.00297619047619048
"680","680_2012-11-07","M","Mix20",653,21,21.47,"bilingual",39.62,60.39,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",35,28,40,2012-11-07,1,FALSE,1,16,"y",39.615,"60_40",537,0,0,103,63,75,138,21.7666666666667,"60_40",75,63,40,28,"French",75,63,40,28,68,0.543478260869565,0.507246376811594,0.0520833333333333
"2908","2908_2012-11-10","M","Mix20",649,21,21.34,"bilingual",36.85,62.09,1.07,"French",NA,"Y","Y","Y","Y","Y","bothFilled",145,64,49,2012-11-10,1,FALSE,1,16,"y",37.38,"60_40",16,0,0,258,209,194,403,21.6333333333333,"70_30",194,209,49,64,"English",209,194,64,49,113,0.518610421836228,0.719602977667494,0.21577380952381
"1242","1242_2012-11-11","F","Mix20",648,21,21.3,"bilingual",31.55,67.95,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",22,3,232,2012-11-11,1,FALSE,1,18,"n",31.8,"60_40",326,0,0,257,25,254,279,21.6,"70_30",254,25,232,3,"French",254,25,232,3,235,0.910394265232975,0.157706093189964,0.0327380952380952
"1311","1311_2012-11-11","M","Mix20",648,21,21.3,"bilingual",31.55,67.95,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",24,2,258,2012-11-11,1,FALSE,1,NA,"y",31.8,"60_40",238,0,0,284,26,282,308,21.6,"70_30",282,26,258,2,"French",282,26,258,2,260,0.915584415584416,0.155844155844156,0.0357142857142857
"108","108_2012-11-14","F","BiAEM26",828,27,27.22,"bilingual",69.26,30.74,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",71,415,8,2012-11-14,2,TRUE,2,18,"n",30.74,"60_40",244,0,0,494,486,79,565,27.6,"80_20",486,79,415,8,"English",486,79,415,8,423,0.860176991150442,0.251327433628319,0.105654761904762
"1367","1367_2012-11-24","M","Mix20",639,21,21.01,"bilingual",61.53,38.48,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",35,61,9,2012-11-24,1,FALSE,1,16,"y",38.475,"60_40",137,0,0,105,96,44,140,21.3,"60_40",96,44,61,9,"English",96,44,61,9,70,0.685714285714286,0.5,0.0520833333333333
"1723","1723_2012-11-24","M","Mix20",616,20,20.25,"bilingual",55.57,43.34,1.1,"English",NA,"Y","Y","Y","Y","Y","bothFilled",7,68,7,2012-11-24,1,FALSE,1,13,"n",43.885,"50_50",84,0,0,82,75,14,89,20.5333333333333,"50_50",75,14,68,7,"English",75,14,68,7,75,0.842696629213483,0.157303370786517,0.0104166666666667
"2109","2109_2012-11-28","M","Mix20",627,20,20.61,"bilingual",26.46,73.54,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",7,12,63,2012-11-28,1,FALSE,1,21,"y",26.46,"70_30",249,0,0,82,19,70,89,20.9,"80_20",70,19,63,12,"French",70,19,63,12,75,0.786516853932584,0.157303370786517,0.0104166666666667
"2072","2072_2012-12-01","M","ReMix20",618,20,20.32,"bilingual",50.48,49.53,0,"English","Father","Y","Y","Y","Y","Y","bothFilled",24,20,29,2012-12-01,1,TRUE,2,18,"y",49.525,"50_50",198,0,0,73,44,53,97,20.6,"50_50",44,53,20,29,"French",53,44,29,20,49,0.54639175257732,0.494845360824742,0.0357142857142857
"2064","2064_2012-12-02","F","ReMix20",620,20,20.38,"bilingual",49.41,50.6,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",33,43,74,2012-12-02,1,FALSE,1,18,"y",49.405,"50_50",430,0,0,150,76,107,183,20.6666666666667,"50_50",107,76,74,43,"French",107,76,74,43,117,0.584699453551913,0.360655737704918,0.0491071428571429
"1885","1885_2013-01-12","F","Prime24",760,24,24.99,"bilingual",51.79,48.22,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",57,51,63,2013-01-12,2,TRUE,3,16,"y",48.215,"50_50",547,0,0,171,108,120,228,25.3333333333333,"50_50",108,120,51,63,"French",120,108,63,51,114,0.526315789473684,0.5,0.0848214285714286
"1825","1825_2013-01-24","M","Prime24",756,24,24.85,"bilingual",75,25,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",20,94,1,2013-01-24,2,TRUE,2,15,"y",25,"70_30",439,0,0,115,114,21,135,25.2,"80_20",114,21,94,1,"English",114,21,94,1,95,0.844444444444444,0.296296296296296,0.0297619047619048
"624","624_2013-01-27","F","Prime24",753,24,24.76,"bilingual",34.17,65.84,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",22,21,54,2013-01-27,2,TRUE,2,15,"y",34.165,"60_40",409,0,0,97,43,76,119,25.1,"70_30",76,43,54,21,"French",76,43,54,21,75,0.638655462184874,0.369747899159664,0.0327380952380952
"1527","1527_2013-01-30","M","BiAEM26",791,26,26.01,"bilingual",71.43,28.57,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",10,22,1,2013-01-30,1,FALSE,1,16,"n",28.57,"70_30",349,0,0,33,32,11,43,26.3666666666667,"80_20",32,11,22,1,"English",32,11,22,1,23,0.744186046511628,0.465116279069767,0.0148809523809524
"309","309_2013-02-13","M","BiAEM26",810,26,26.63,"bilingual",66.23,33.78,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",151,313,18,2013-02-13,1,FALSE,1,18,"n",33.775,"60_40",23,0,0,482,464,169,633,27,"70_30",464,169,313,18,"English",464,169,313,18,331,0.733017377567141,0.477093206951027,0.224702380952381
"355","355_2013-03-02","M","ReMix20",619,20,20.35,"bilingual",61.82,38.19,0,"English","Father","Y","Y","Y","Y","Y","bothFilled",10,47,7,2013-03-02,1,FALSE,1,13,"n",38.185,"60_40",581,0,0,64,57,17,74,20.6333333333333,"60_40",57,17,47,7,"English",57,17,47,7,54,0.77027027027027,0.27027027027027,0.0148809523809524
"1491","1491_2013-03-04","M","BiAEM26",818,26,26.89,"bilingual",74.7,25.3,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",87,161,40,2013-03-04,1,FALSE,1,18,"n",25.3,"70_30",559,0,0,288,248,127,375,27.2666666666667,"80_20",248,127,161,40,"English",248,127,161,40,201,0.661333333333333,0.464,0.129464285714286
"1885","1885_2013-03-04","F","BiAEM26",811,26,26.66,"bilingual",51.47,48.53,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",133,94,99,2013-03-04,3,TRUE,3,16,"y",48.53,"50_50",547,0,0,326,227,232,459,27.0333333333333,"50_50",227,232,94,99,"French",232,227,99,94,193,0.505446623093682,0.579520697167756,0.197916666666667
"2701","2701_2013-03-06","F","Prime24",755,24,24.82,"bilingual",70,29,2,"English","Mother","Y","Y","Y","Y","Y","bothFilled",348,168,47,2013-03-06,1,FALSE,1,18,"y",29.5,"70_30",292,0,0,563,516,395,911,25.1666666666667,"80_20",516,395,168,47,"English",516,395,168,47,215,0.566410537870472,0.763995609220637,0.517857142857143
"1439","1439_2013-03-16","M","Prime24",764,25,25.12,"bilingual",34.88,65.12,0,"French","Mother and Father","Y","Y","Y","Y","Y","bothFilled",17,28,39,2013-03-16,2,TRUE,2,21,"y",34.88,"60_40",556,0,0,84,45,56,101,25.4666666666667,"70_30",56,45,39,28,"French",56,45,39,28,67,0.554455445544555,0.336633663366337,0.025297619047619
"437","437_2013-03-23","M","BiAEM26",791,26,26.01,"bilingual",73.1,26.9,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",81,448,11,2013-03-23,1,FALSE,1,18,"n",26.9,"70_30",41,0,0,540,529,92,621,26.3666666666667,"80_20",529,92,448,11,"English",529,92,448,11,459,0.851851851851852,0.260869565217391,0.120535714285714
"3322","3322_2013-03-23","F","ReMix20",624,20,20.52,"bilingual",51.28,48.72,0,"English","Mother and Father","Y","Y","Y","Y","Y","bothFilled",4,17,13,2013-03-23,1,FALSE,1,18,"y",48.72,"50_50",466,0,0,34,21,17,38,20.8,"50_50",21,17,17,13,"English",21,17,17,13,30,0.552631578947368,0.210526315789474,0.00595238095238095
"3290","3290_2013-04-13","F","Mix20",630,20,20.71,"bilingual",62.74,37.26,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",5,18,3,2013-04-13,1,FALSE,1,15,"y",37.26,"60_40",10,0,0,26,23,8,31,21,"70_30",23,8,18,3,"English",23,8,18,3,21,0.741935483870968,0.32258064516129,0.00744047619047619
"435","435_2013-04-19","F","BiAEM26",819,26,26.93,"bilingual",53.07,46.93,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",89,329,17,2013-04-19,1,FALSE,1,15,"n",46.93,"50_50",620,0,0,435,418,106,524,27.3,"50_50",418,106,329,17,"English",418,106,329,17,346,0.797709923664122,0.33969465648855,0.132440476190476
"4867","4867_2013-04-20","F","Mix20",610,20,20.05,"bilingual",68.93,31.07,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",14,29,2,2013-04-20,1,FALSE,1,16,"y",31.07,"60_40",357,0,0,45,43,16,59,20.3333333333333,"80_20",43,16,29,2,"English",43,16,29,2,31,0.728813559322034,0.474576271186441,0.0208333333333333
"2072","2072_2013-04-21","M","Prime24",759,24,24.95,"bilingual",50.35,49.65,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",122,67,106,2013-04-21,2,TRUE,2,18,"y",49.65,"50_50",198,0,0,295,189,228,417,25.3,"50_50",189,228,67,106,"French",228,189,106,67,173,0.546762589928058,0.585131894484412,0.181547619047619
"3751","3751_2013-04-28","M","Prime24",733,24,24.1,"bilingual",59.54,40.47,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",11,28,23,2013-04-28,1,FALSE,1,18,"n",40.465,"50_50",531,0,0,62,39,34,73,24.4333333333333,"60_40",39,34,28,23,"English",39,34,28,23,51,0.534246575342466,0.301369863013699,0.0163690476190476
"4878","4878_2013-05-15","F","ReMix20",640,21,21.04,"bilingual",47.8,52.2,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",44,7,207,2013-05-15,1,FALSE,1,16,"y",47.8,"50_50",270,0,0,258,51,251,302,21.3333333333333,"50_50",251,51,207,7,"French",251,51,207,7,214,0.83112582781457,0.291390728476821,0.0654761904761905
"4972","4972_2013-05-19","M","ReMix20",643,21,21.14,"bilingual",41.6,58.4,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",11,10,56,2013-05-19,1,FALSE,1,16,"n",41.6,"50_50",134,0,0,77,21,67,88,21.4333333333333,"60_40",67,21,56,10,"French",67,21,56,10,66,0.761363636363636,0.25,0.0163690476190476
