"baby_id","ID_testdate","gender","study_name","age_days","age_months_binned","age_continuous","lang_group","lang_exp_eng","lang_exp_fre","lang_exp_other","lang_dom","cdi_filled_by","both_cdi_filled","required_cdi_filled","eng_cdi_filled","fre_cdi_filled","dom_cdi_filled","cdi_available","number_of_te","eng_unique_words","fre_unique_words","date_of_test","visit_num","multiple_visits","total_keeper_visits","years_education","firstborn","balance","balance_group","participant_id","exclude.language","exclude.age","concept_vocab","total_words_eng","total_words_fre","word_vocab","age_month_decimal","BalanceGroup_byExposure","TotalNW_Dom_exposure","TotalNW_NonDom_exposure","Dom_unique_words_exposure","NonDom_unique_words_exposure","LangDom_vocab","TotalNW_Dom","TotalNW_NonDom","Dom_unique_words","NonDom_unique_words","TotalUnique","balance_vocab","propTE","propTE_CDI"
"4151","4151_2014-01-13","F","Mix20",651,21,21.4,"bilingual",40,60,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",26,33,118,2014-01-13,1,FALSE,1,18,"n",40,"60_40",289,0,0,177,59,144,203,21.7,"60_40",144,59,118,33,"French",144,59,118,33,151,0.70935960591133,0.25615763546798,0.0386904761904762
"1314","1314_2014-01-21","M","Prime24",742,24,24.39,"bilingual",30,70,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",18,31,51,2014-01-21,1,FALSE,1,16,"y",30,"70_30",339,0,0,100,49,69,118,24.7333333333333,"80_20",69,49,51,31,"French",69,49,51,31,82,0.584745762711864,0.305084745762712,0.0267857142857143
"5924","5924_2014-01-26","M","ReMix20",605,19,19.89,"bilingual",62,38,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",71,163,18,2014-01-26,1,TRUE,2,16,"y",38,"60_40",540,0,0,252,234,89,323,20.1666666666667,"60_40",234,89,163,18,"English",234,89,163,18,181,0.724458204334365,0.439628482972136,0.105654761904762
"4707","4707_2014-02-01","M","Lifespan",754,24,24.79,"bilingual",48,50,2,"French",NA,"Y","Y","Y","Y","Y","bothFilled",10,23,11,2014-02-01,1,FALSE,1,15,NA,49,"50_50",506,0,0,44,33,21,54,25.1333333333333,"50_50",21,33,11,23,"English",33,21,23,11,34,0.611111111111111,0.37037037037037,0.0148809523809524
"4675","4675_2014-02-01","F","Prime24",735,24,24.16,"bilingual",73.48,26.52,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",10,307,7,2014-02-01,1,FALSE,1,11,"y",26.52,"70_30",363,0,0,324,317,17,334,24.5,"80_20",317,17,307,7,"English",317,17,307,7,314,0.949101796407186,0.0598802395209581,0.0148809523809524
"4689","4689_2014-02-02","F","Prime24",750,24,24.66,"bilingual",26,74,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",84,27,130,2014-02-02,1,FALSE,1,18,"y",26,"70_30",267,0,0,241,111,214,325,25,"80_20",214,111,130,27,"French",214,111,130,27,157,0.658461538461538,0.516923076923077,0.125
"5399","5399_2014-03-15","F","Mix20",611,20,20.09,"bilingual",35.45,64.55,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",42,16,127,2014-03-15,1,FALSE,1,12,"n",35.45,"60_40",508,0,0,185,58,169,227,20.3666666666667,"70_30",169,58,127,16,"French",169,58,127,16,143,0.744493392070485,0.370044052863436,0.0625
"5049","5049_2014-03-15","M","Prime24",742,24,24.39,"bilingual",46.67,53.33,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",10,13,10,2014-03-15,2,TRUE,2,15,"y",46.67,"50_50",129,0,0,33,23,20,43,24.7333333333333,"50_50",20,23,10,13,"English",23,20,13,10,23,0.534883720930233,0.465116279069767,0.0148809523809524
"5401","5401_2014-03-19","M","ReMix20",615,20,20.22,"bilingual",43,57,0,"French","Other family member","Y","Y","Y","Y","Y","bothFilled",39,32,19,2014-03-19,1,TRUE,2,18,"y",43,"50_50",145,0,0,90,71,58,129,20.5,"60_40",58,71,19,32,"English",71,58,32,19,51,0.550387596899225,0.604651162790698,0.0580357142857143
"5392","5392_2014-03-23","F","ReMix20",620,20,20.38,"bilingual",63,37,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",89,79,49,2014-03-23,1,TRUE,2,16,"n",37,"60_40",570,0,0,217,168,138,306,20.6666666666667,"70_30",168,138,79,49,"English",168,138,79,49,128,0.549019607843137,0.581699346405229,0.132440476190476
"1865","1865_2014-03-31","F","Lifespan",753,24,24.76,"bilingual",35,65,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",18,5,81,2014-03-31,1,FALSE,1,18,"y",35,"60_40",392,0,0,104,23,99,122,25.1,"70_30",99,23,81,5,"French",99,23,81,5,86,0.811475409836066,0.295081967213115,0.0267857142857143
"5717","5717_2014-05-28","M","Mix20",609,20,20.02,"bilingual",47.2,52.8,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",20,10,88,2014-05-28,1,FALSE,1,16,"y",47.2,"50_50",148,0,0,118,30,108,138,20.3,"50_50",108,30,88,10,"French",108,30,88,10,98,0.782608695652174,0.289855072463768,0.0297619047619048
"7549","7549_2014-07-14","F","ReMix20",650,21,21.37,"bilingual",39,61,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",47,12,156,2014-07-14,1,FALSE,1,13,"y",39,"60_40",476,0,0,215,59,203,262,21.6666666666667,"60_40",203,59,156,12,"French",203,59,156,12,168,0.774809160305344,0.358778625954198,0.0699404761904762
"6124","6124_2014-07-17","M","ReMix20",627,20,20.61,"bilingual",27,74,0,"French","Father","Y","Y","Y","Y","Y","bothFilled",15,5,97,2014-07-17,1,FALSE,1,16,"n",26.5,"70_30",117,0,0,117,20,112,132,20.9,"80_20",112,20,97,5,"French",112,20,97,5,102,0.848484848484849,0.227272727272727,0.0223214285714286
"5392","5392_2014-07-19","F","Prime24",738,24,24.26,"bilingual",59,41,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",124,114,63,2014-07-19,2,TRUE,2,16,"n",41,"50_50",570,0,0,301,238,187,425,24.6,"60_40",238,187,114,63,"English",238,187,114,63,177,0.56,0.583529411764706,0.18452380952381
"6158","6158_2014-07-20","F","ReMix20",627,20,20.61,"bilingual",66,34,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",142,110,47,2014-07-20,1,TRUE,2,18,"y",34,"60_40",55,0,0,299,252,189,441,20.9,"70_30",252,189,110,47,"English",252,189,110,47,157,0.571428571428571,0.643990929705215,0.211309523809524
"6224","6224_2014-07-27","M","ReMix20",657,21,21.6,"bilingual",61.5,38.5,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",22,42,19,2014-07-27,1,TRUE,2,16,"n",38.5,"60_40",170,0,0,83,64,41,105,21.9,"60_40",64,41,42,19,"English",64,41,42,19,61,0.60952380952381,0.419047619047619,0.0327380952380952
"5370","5370_2014-08-09","M","Prime24",753,24,24.76,"bilingual",49.5,50.5,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",49,8,130,2014-08-09,1,FALSE,1,18,"y",49.5,"50_50",390,0,0,187,57,179,236,25.1,"50_50",179,57,130,8,"French",179,57,130,8,138,0.758474576271186,0.415254237288136,0.0729166666666667
"4083","4083_2014-09-28","M","Prime24",739,24,24.3,"bilingual",53.45,46.55,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",109,64,100,2014-09-28,1,FALSE,1,16,"n",46.55,"50_50",407,0,0,273,173,209,382,24.6333333333333,"50_50",173,209,64,100,"French",209,173,100,64,164,0.547120418848168,0.570680628272251,0.162202380952381
"5731","5731_2014-10-02","M","Lifespan",743,24,24.43,"bilingual",38,62,0,"French",NA,"Y","Y","Y","Y","Y","bothFilled",67,43,79,2014-10-02,1,FALSE,1,18,"y",38,"60_40",163,0,0,189,110,146,256,24.7666666666667,"60_40",146,110,79,43,"French",146,110,79,43,122,0.5703125,0.5234375,0.099702380952381
"6138","6138_2014-10-17","M","Lifespan",725,23,23.84,"bilingual",25.22,74.79,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",15,7,326,2014-10-17,1,TRUE,2,16,"y",25.215,"70_30",445,0,0,348,22,341,363,24.1666666666667,"80_20",341,22,326,7,"French",341,22,326,7,333,0.939393939393939,0.0826446280991736,0.0223214285714286
"6224","6224_2014-11-01","M","Lifespan",754,24,24.79,"bilingual",60.5,39.5,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",25,53,15,2014-11-01,2,TRUE,2,16,"n",39.5,"60_40",170,0,0,93,78,40,118,25.1333333333333,"60_40",78,40,53,15,"English",78,40,53,15,68,0.661016949152542,0.423728813559322,0.037202380952381
"7630","7630_2014-11-15","M","ReMix20",604,19,19.86,"bilingual",66,34,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",17,33,12,2014-11-15,1,TRUE,2,16,"n",34,"60_40",395,0,0,62,50,29,79,20.1333333333333,"70_30",50,29,33,12,"English",50,29,33,12,45,0.632911392405063,0.430379746835443,0.025297619047619
"7776","7776_2014-11-22","M","Lifespan",663,21,21.8,"bilingual",49.86,50.14,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",6,10,3,2014-11-22,1,FALSE,1,16,"n",49.86,"50_50",202,0,0,19,16,9,25,22.1,"50_50",9,16,3,10,"English",16,9,10,3,13,0.64,0.48,0.00892857142857143
"6163","6163_2014-11-28","F","Prime24",765,25,25.15,"bilingual",67,33,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",253,213,32,2014-11-28,1,FALSE,1,18,"y",33,"60_40",494,0,0,498,466,285,751,25.5,"70_30",466,285,213,32,"English",466,285,213,32,245,0.620505992010652,0.673768308921438,0.376488095238095
"4293","4293_2014-11-29","M","Prime24",723,23,23.77,"bilingual",37.5,62.5,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",61,104,82,2014-11-29,1,FALSE,1,16,"n",37.5,"60_40",115,0,0,247,165,143,308,24.1,"70_30",143,165,82,104,"English",165,143,104,82,186,0.535714285714286,0.396103896103896,0.0907738095238095
"7204","7204_2014-12-13","M","Mix20",602,19,19.79,"bilingual",69.62,30.77,0,"English",NA,"Y","Y","Y","Y","Y","bothFilled",19,32,4,2014-12-13,1,TRUE,2,16,"n",30.575,"60_40",352,0,0,55,51,23,74,20.0666666666667,"80_20",51,23,32,4,"English",51,23,32,4,36,0.689189189189189,0.513513513513513,0.0282738095238095
"8315","8315_2015-02-06","M","Lifespan",911,29,29.95,"bilingual",49.16,50.85,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",376,281,38,2015-02-06,1,FALSE,1,16,"y",49.155,"50_50",50,0,0,695,657,414,1071,30.3666666666667,"50_50",414,657,38,281,"English",657,414,281,38,319,0.613445378151261,0.702147525676937,0.55952380952381
"5844","5844_2015-02-08","M","Prime24",755,24,24.82,"bilingual",74.25,25.75,0,"English","Father","Y","Y","Y","Y","Y","bothFilled",56,119,28,2015-02-08,1,FALSE,1,16,"y",25.75,"70_30",161,0,0,203,175,84,259,25.1666666666667,"80_20",175,84,119,28,"English",175,84,119,28,147,0.675675675675676,0.432432432432432,0.0833333333333333
"7072","7072_2015-03-13","F","Mix20",611,20,20.09,"bilingual",30.73,69.28,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",28,37,29,2015-03-13,1,FALSE,1,16,"n",30.725,"60_40",343,0,0,94,65,57,122,20.3666666666667,"80_20",57,65,29,37,"English",65,57,37,29,66,0.532786885245902,0.459016393442623,0.0416666666666667
"7057","7057_2015-04-27","F","Mix20",627,20,20.61,"bilingual",67,33,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",15,57,5,2015-04-27,1,TRUE,2,18,"n",33,"60_40",454,0,0,77,72,20,92,20.9,"70_30",72,20,57,5,"English",72,20,57,5,62,0.782608695652174,0.326086956521739,0.0223214285714286
"9139","9139_2015-07-07","M","Lifespan",719,23,23.64,"bilingual",37.27,59.05,3.27,"French","Mother","Y","Y","Y","Y","Y","bothFilled",13,24,31,2015-07-07,1,TRUE,2,18,"y",39.11,"60_40",240,0,0,68,37,44,81,23.9666666666667,"60_40",44,37,31,24,"French",44,37,31,24,55,0.54320987654321,0.320987654320988,0.0193452380952381
"6158","6158_2015-08-06","F","Dis32",1009,33,33.17,"bilingual",58,42,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",384,142,70,2015-08-06,2,TRUE,2,18,"y",42,"50_50",55,0,0,596,526,454,980,33.6333333333333,"60_40",526,454,142,70,"English",526,454,142,70,212,0.536734693877551,0.783673469387755,0.571428571428571
"7993","7993_2015-08-16","M","CrossPrime30",944,31,31.04,"bilingual",47.91,52.09,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",393,73,105,2015-08-16,1,FALSE,1,16,"n",47.91,"50_50",31,0,0,571,466,498,964,31.4666666666667,"50_50",498,466,105,73,"French",498,466,105,73,178,0.516597510373444,0.815352697095436,0.584821428571429
"7630","7630_2015-10-04","M","CrossPrime30",927,30,30.48,"bilingual",72,28,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",72,412,5,2015-10-04,2,TRUE,2,16,"n",28,"70_30",395,0,0,489,484,77,561,30.9,"80_20",484,77,412,5,"English",484,77,412,5,417,0.862745098039216,0.25668449197861,0.107142857142857
"9105","9105_2015-10-10","M","ReMix20",639,21,21.01,"bilingual",31.93,68.07,0,"French","Father","Y","Y","Y","Y","Y","bothFilled",12,2,36,2015-10-10,1,TRUE,2,18,"y",31.93,"60_40",578,0,0,50,14,48,62,21.3,"70_30",48,14,36,2,"French",48,14,36,2,38,0.774193548387097,0.387096774193548,0.0178571428571429
"7298","7298_2015-10-11","M","Dis32",1000,32,32.88,"bilingual",47,53,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",404,142,65,2015-10-11,1,FALSE,1,16,"n",47,"50_50",172,0,0,611,546,469,1015,33.3333333333333,"50_50",469,546,65,142,"English",546,469,142,65,207,0.537931034482759,0.796059113300493,0.601190476190476
"8046","8046_2015-10-31","F","Dis32",1005,33,33.04,"bilingual",74,26,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",137,348,4,2015-10-31,1,FALSE,1,13,"y",26,"70_30",318,0,0,489,485,141,626,33.5,"80_20",485,141,348,4,"English",485,141,348,4,352,0.774760383386581,0.437699680511182,0.203869047619048
"7204","7204_2015-11-03","M","CrossPrime30",927,30,30.48,"bilingual",66,34,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",86,299,8,2015-11-03,2,TRUE,2,16,"n",34,"60_40",352,0,0,393,385,94,479,30.9,"70_30",385,94,299,8,"English",385,94,299,8,307,0.803757828810021,0.359081419624217,0.12797619047619
"6803","6803_2015-11-09","F","CrossPrime30",924,30,30.38,"bilingual",64,36,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",283,335,23,2015-11-09,1,FALSE,1,21,"n",36,"60_40",130,0,0,641,618,306,924,30.8,"70_30",618,306,335,23,"English",618,306,335,23,358,0.668831168831169,0.612554112554113,0.421130952380952
"41863","41863_2015-11-21","M","ReMix20",644,21,21.17,"bilingual",64,36,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",24,12,27,2015-11-21,1,FALSE,1,16,"y",36,"60_40",588,0,0,63,36,51,87,21.4666666666667,"70_30",36,51,12,27,"French",51,36,27,12,39,0.586206896551724,0.551724137931034,0.0357142857142857
"8483","8483_2015-11-21","F","ReMix20",623,20,20.48,"bilingual",67,33,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",20,18,17,2015-11-21,1,FALSE,1,18,"y",33,"60_40",618,0,0,55,38,37,75,20.7666666666667,"70_30",38,37,18,17,"English",38,37,18,17,35,0.506666666666667,0.533333333333333,0.0297619047619048
"7725","7725_2015-11-28","F","CrossPrime30",912,29,29.98,"bilingual",58,42,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",59,70,41,2015-11-28,2,TRUE,2,18,"n",42,"50_50",96,0,0,170,129,100,229,30.4,"60_40",129,100,70,41,"English",129,100,70,41,111,0.563318777292576,0.51528384279476,0.087797619047619
"6661","6661_2015-12-13","F","CrossPrime30",911,29,29.95,"bilingual",68,32,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",221,360,23,2015-12-13,1,FALSE,1,15,"y",32,"60_40",104,0,0,604,581,244,825,30.3666666666667,"70_30",581,244,360,23,"English",581,244,360,23,383,0.704242424242424,0.535757575757576,0.328869047619048
"6663","6663_2015-12-16","F","CrossPrime30",914,30,30.05,"bilingual",42,58,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",77,27,329,2015-12-16,1,FALSE,1,18,"y",42,"50_50",385,0,0,433,104,406,510,30.4666666666667,"60_40",406,104,329,27,"French",406,104,329,27,356,0.796078431372549,0.301960784313725,0.114583333333333
"7284","7284_2015-12-17","M","CrossPrime30",916,30,30.12,"bilingual",30,66,4,"French","Mother","Y","Y","Y","Y","Y","bothFilled",49,34,76,2015-12-17,1,FALSE,1,NA,"n",32,"60_40",226,0,0,159,83,125,208,30.5333333333333,"70_30",125,83,76,34,"French",125,83,76,34,110,0.600961538461538,0.471153846153846,0.0729166666666667
"7759","7759_2015-12-19","F","Dis32",979,32,32.19,"bilingual",45,55,0,"French","Mother and Father","Y","Y","Y","Y","Y","bothFilled",102,7,300,2015-12-19,1,FALSE,1,13,"y",45,"50_50",324,0,0,409,109,402,511,32.6333333333333,"50_50",402,109,300,7,"French",402,109,300,7,307,0.786692759295499,0.399217221135029,0.151785714285714
"6589","6589_2015-12-20","M","CrossPrime30",921,30,30.28,"bilingual",43,57,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",32,35,60,2015-12-20,1,FALSE,1,16,"n",43,"50_50",418,0,0,127,67,92,159,30.7,"60_40",92,67,60,35,"French",92,67,60,35,95,0.578616352201258,0.40251572327044,0.0476190476190476
"7194","7194_2016-01-16","M","Dis32",1003,32,32.98,"bilingual",47.7,52.3,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",121,344,22,2016-01-16,1,FALSE,1,16,"n",47.7,"50_50",287,0,0,487,465,143,608,33.4333333333333,"50_50",143,465,22,344,"English",465,143,344,22,366,0.764802631578947,0.398026315789474,0.180059523809524
"7738","7738_2016-01-17","F","ReMix20",608,19,19.99,"bilingual",57,43,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",213,241,23,2016-01-17,1,TRUE,2,16,"n",43,"50_50",368,0,0,477,454,236,690,20.2666666666667,"60_40",454,236,241,23,"English",454,236,241,23,264,0.657971014492754,0.617391304347826,0.316964285714286
"7140","7140_2016-01-24","F","Dis32",1019,33,33.5,"bilingual",71.15,28.85,0,"English","Mother and Father","Y","Y","Y","Y","Y","bothFilled",213,281,25,2016-01-24,1,FALSE,1,16,"n",28.85,"70_30",317,0,0,519,494,238,732,33.9666666666667,"80_20",494,238,281,25,"English",494,238,281,25,306,0.674863387978142,0.581967213114754,0.316964285714286
"41945","41945_2016-02-03","F","CrossPrime30",923,30,30.35,"bilingual",65.86,26.6,7.53,"English","Mother","Y","Y","Y","Y","Y","bothFilled",95,371,10,2016-02-03,1,FALSE,1,16,"y",30.37,"60_40",132,0,0,476,466,105,571,30.7666666666667,"80_20",466,105,371,10,"English",466,105,371,10,381,0.816112084063047,0.332749562171629,0.141369047619048
"7057","7057_2016-02-08","F","CrossPrime30",914,30,30.05,"bilingual",75,25,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",13,275,1,2016-02-08,2,TRUE,2,18,"n",25,"70_30",454,0,0,289,288,14,302,30.4666666666667,"80_20",288,14,275,1,"English",288,14,275,1,276,0.95364238410596,0.0860927152317881,0.0193452380952381
"9139","9139_2016-02-19","M","CrossPrime30",946,31,31.1,"bilingual",37,59,4,"French","Mother","Y","Y","Y","Y","Y","bothFilled",75,36,131,2016-02-19,2,TRUE,2,18,"y",39,"60_40",240,0,0,242,111,206,317,31.5333333333333,"60_40",206,111,131,36,"French",206,111,131,36,167,0.649842271293375,0.473186119873817,0.111607142857143
"7028","7028_2016-02-27","F","CrossPrime30",910,29,29.92,"bilingual",47.68,47,5.32,"English","Father","Y","Y","Y","Y","Y","bothFilled",42,132,16,2016-02-27,1,FALSE,1,18,"y",49.66,"50_50",36,0,0,190,174,58,232,30.3333333333333,"50_50",174,58,132,16,"English",174,58,132,16,148,0.75,0.362068965517241,0.0625
"6975","6975_2016-03-02","M","CrossPrime30",935,30,30.74,"bilingual",62.28,37.72,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",148,63,100,2016-03-02,1,FALSE,1,13,"n",37.72,"60_40",552,0,0,311,211,248,459,31.1666666666667,"60_40",211,248,63,100,"French",248,211,100,63,163,0.540305010893246,0.644880174291939,0.220238095238095
"42171","42171_2016-03-04","F","Dis32",1000,32,32.88,"bilingual",62.75,37.25,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",174,232,50,2016-03-04,1,FALSE,1,21,"y",37.25,"60_40",167,0,0,456,406,224,630,33.3333333333333,"70_30",406,224,232,50,"English",406,224,232,50,282,0.644444444444444,0.552380952380952,0.258928571428571
"7778","7778_2016-03-17","F","CrossPrime30",913,30,30.02,"bilingual",66.89,33.11,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",102,407,3,2016-03-17,1,FALSE,1,16,"n",33.11,"60_40",81,0,0,512,509,105,614,30.4333333333333,"70_30",509,105,407,3,"English",509,105,407,3,410,0.828990228013029,0.332247557003257,0.151785714285714
"6896","6896_2016-04-14","M","Dis32",983,32,32.32,"bilingual",30.5,69.5,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",44,8,212,2016-04-14,2,TRUE,2,16,"y",30.5,"60_40",269,0,0,264,52,256,308,32.7666666666667,"80_20",256,52,212,8,"French",256,52,212,8,220,0.831168831168831,0.285714285714286,0.0654761904761905
"6965","6965_2016-05-04","M","Dis32",983,32,32.32,"bilingual",27,73,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",66,49,226,2016-05-04,1,FALSE,1,18,"y",27,"70_30",542,0,0,341,115,292,407,32.7666666666667,"80_20",292,115,226,49,"French",292,115,226,49,275,0.717444717444717,0.324324324324324,0.0982142857142857
"8330","8330_2016-05-08","M","ReMix20",608,19,19.99,"bilingual",29,68,3,"French","Mother and Father","Y","Y","Y","Y","Y","bothFilled",9,7,27,2016-05-08,1,FALSE,1,18,"y",30.5,"60_40",259,0,0,43,16,36,52,20.2666666666667,"80_20",36,16,27,7,"French",36,16,27,7,34,0.692307692307692,0.346153846153846,0.0133928571428571
"6853","6853_2016-05-13","M","Dis32",993,32,32.65,"bilingual",35.5,64.5,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",136,31,281,2016-05-13,1,FALSE,1,18,"y",35.5,"60_40",76,0,0,448,167,417,584,33.1,"70_30",417,167,281,31,"French",417,167,281,31,312,0.714041095890411,0.465753424657534,0.202380952380952
"8442","8442_2016-05-22","F","ReMix20",621,20,20.42,"bilingual",42.56,57.44,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",36,16,53,2016-05-22,1,TRUE,2,18,"y",42.56,"50_50",527,0,0,105,52,89,141,20.7,"60_40",89,52,53,16,"French",89,52,53,16,69,0.631205673758865,0.51063829787234,0.0535714285714286
"9105","9105_2016-07-21","M","CrossPrime30",924,30,30.38,"bilingual",30,70,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",25,5,179,2016-07-21,2,TRUE,2,18,"y",30,"70_30",578,0,0,209,30,204,234,30.8,"80_20",204,30,179,5,"French",204,30,179,5,184,0.871794871794872,0.213675213675214,0.037202380952381
"8156","8156_2016-07-22","M","CrossPrime30",944,31,31.04,"bilingual",60,35,5,"English","Mother","Y","Y","Y","Y","Y","bothFilled",26,391,4,2016-07-22,1,TRUE,2,15,"n",37.5,"60_40",197,0,0,421,417,30,447,31.4666666666667,"70_30",417,30,391,4,"English",417,30,391,4,395,0.932885906040268,0.116331096196868,0.0386904761904762
"9127","9127_2016-07-28","M","CrossPrime30",927,30,30.48,"bilingual",63,29,8,"English",NA,"Y","Y","Y","Y","Y","bothFilled",25,249,11,2016-07-28,1,FALSE,1,13,"y",33,"60_40",396,0,0,285,274,36,310,30.9,"70_30",274,36,249,11,"English",274,36,249,11,260,0.883870967741936,0.161290322580645,0.037202380952381
"42052","42052_2016-08-04","F","Dis32",1004,33,33.01,"bilingual",66,34,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",409,173,54,2016-08-04,1,FALSE,1,16,"y",34,"60_40",241,0,0,636,582,463,1045,33.4666666666667,"70_30",582,463,173,54,"English",582,463,173,54,227,0.556937799043062,0.782775119617225,0.608630952380952
"7918","7918_2016-08-13","M","CrossPrime30",931,30,30.61,"bilingual",34,66,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",182,90,62,2016-08-13,1,FALSE,1,18,"y",34,"60_40",529,0,0,334,272,244,516,31.0333333333333,"70_30",244,272,62,90,"English",272,244,90,62,152,0.527131782945736,0.705426356589147,0.270833333333333
"8069","8069_2016-09-09","F","Dis32",1010,33,33.21,"bilingual",26,74,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",102,7,399,2016-09-09,1,FALSE,1,16,"y",26,"70_30",479,0,0,508,109,501,610,33.6666666666667,"80_20",501,109,399,7,"French",501,109,399,7,406,0.821311475409836,0.334426229508197,0.151785714285714
"8181","8181_2016-09-10","M","Dis32",988,32,32.48,"bilingual",63,37,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",281,371,24,2016-09-10,1,FALSE,1,12,"y",37,"60_40",543,0,0,676,652,305,957,32.9333333333333,"70_30",652,305,371,24,"English",652,305,371,24,395,0.681295715778474,0.587251828631139,0.418154761904762
"42537","42537_2016-09-16","F","ReMix20",638,20,20.98,"bilingual",73,27,0,"English","Mother","Y","Y","Y","Y","Y","bothFilled",61,175,24,2016-09-16,1,FALSE,1,18,"y",27,"70_30",103,0,0,260,236,85,321,21.2666666666667,"80_20",236,85,175,24,"English",236,85,175,24,199,0.735202492211838,0.38006230529595,0.0907738095238095
"42685","42685_2016-09-24","M","Dis32",1008,33,33.14,"bilingual",45.5,52,3,"French","Mother","Y","Y","Y","Y","Y","bothFilled",39,56,22,2016-09-24,1,FALSE,1,10,"y",46.75,"50_50",284,0,0,117,95,61,156,33.6,"50_50",61,95,22,56,"English",95,61,56,22,78,0.608974358974359,0.5,0.0580357142857143
"8156","8156_2016-09-25","M","Dis32",1009,33,33.17,"bilingual",69,26,5,"English","Mother","Y","Y","Y","Y","Y","bothFilled",33,428,4,2016-09-25,2,TRUE,2,13,"n",28.5,"70_30",197,0,0,465,461,37,498,33.6333333333333,"80_20",461,37,428,4,"English",461,37,428,4,432,0.92570281124498,0.132530120481928,0.0491071428571429
"8630","8630_2016-10-15","F","ReMix20",617,20,20.28,"bilingual",43,57,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",78,58,99,2016-10-15,1,FALSE,1,18,"n",43,"50_50",607,0,0,235,136,177,313,20.5666666666667,"60_40",177,136,99,58,"French",177,136,99,58,157,0.565495207667732,0.498402555910543,0.116071428571429
"44037","44037_2016-11-12","F","CrossPrime30",931,30,30.61,"bilingual",63,27,10,"English","Father","Y","Y","Y","Y","Y","bothFilled",68,207,26,2016-11-12,1,FALSE,1,16,"n",32,"60_40",251,0,0,301,275,94,369,31.0333333333333,"70_30",275,94,207,26,"English",275,94,207,26,233,0.745257452574526,0.368563685636856,0.101190476190476
"7738","7738_2016-11-13","F","CrossPrime30",909,29,29.88,"bilingual",42,58,0,"French","Mother","Y","Y","Y","Y","Y","bothFilled",202,429,6,2016-11-13,2,TRUE,2,16,NA,42,"50_50",368,0,0,637,631,208,839,30.3,"60_40",208,631,6,429,"English",631,208,429,6,435,0.752085816448153,0.481525625744934,0.300595238095238
